trade_id,account_id,client_document,date,ticker,side,quantity,price,broker_fee,tax,currency
679868727743487347,000000000987654321,,05-01-2026,VALE3,BUY,100.0,"351,20","10,00",1.1,BRL
757871331509839301,123456789012345678,,2026/01/04,PETR4, SELL,100.0,351.20,10.0,0.38,BRL
264005242786801128,000045600000000001,00766177115966,2026-01-06,USD/BRL,BUY ,250,351.20,"1,50","0,00",USD
993734670656272980,000012345678901234,75060685329,2026/01/04,PETR4,B,100,"122,56",1.5,3.25,BRL
799016272046537556,000012345678901234,32.898.614/3410-31,04-01-2026,BOVA11,BUY ,250,122.56,0.00,0.0,BRL
854330365414586850,000000000987654321,45.502.296/1201-66,06-01-2026,NTNB 2035,B,1.000,"5,123.45",2.75,0.0,BRL
484251354278498084,123456789012345678,35.158.506/4317-08,06/01/2026,BOVA11,S,10,5123.45,2.75,0.38,BRL
410341316475255341,000045600000000001, 08427109490 ,04-01-2026,VALE3,sell,25,28.1,0.0,"0,38",BRL
204332181960013389,000045600000000001,18.844.225/8313-50,2026-01-02,VALE3,BUY,250,10.35,10.0,0.00,BRL
118451462704828148,123456789012345678,CNPJ 29.671.756/5512-99,06-01-2026,PETR4,S,"1,000",9.85,"1,50",3.25,BRL
387101226916697848,000000000987654321, 99471746488747 ,03/01/2026,NTNB 2035,Compra,100.0,10.35,0.0,0.00,BRL
261559407816184959,000012345678901234,  ,2026-01-04,ITUB4,Compra,10,"5,123.45","1,50",1.1,BRL
596631931491905865,000012345678901234, 66765277584190 ,03/01/2026,ITUB4,sell,10.0,"5.123,45",2.75,"1,10",BRL
869453147379965075,000045600000000001,19.285.654/3102-21,04/01/2026,BOVA11,B,"1,000","10,35",10.00,"1,10",BRL
564170805310033092,000045600000000001,96218518824,06-01-2026,USD/BRL,BUY,25,28.10,10.0,"0,00",USD
261559407816184959,000000000987654321,98182992299581,03/01/2026,ITUB4, SELL,10,"28,10",1.50,1.10,BRL
799577738721489513,000012345678901234,cpf 43292127732,2026/01/02,USD/BRL,BUY,100,28.10,1.5,"0,38",USD
731165667010651333,123456789012345678,,05/01/2026,NTNB 2035,B,100,5123.45,10.00,1.10,BRL
