trade_id,account_id,client_document,date,ticker,side,quantity,price,broker_fee,tax,currency
261559407816184959,000000000987654321,98182992299581,03/01/2026,ITUB4, SELL,10,"28,10",1.50,1.10,BRL
183863794026542351,000012345678901234,517.785.289-05,02-01-2026,ITUB4,SELL,250,351.2,10.0,"3,25",BRL
993734670656272980,000012345678901234,75060685329,2026/01/04,PETR4,B,100,"122,56",1.5,3.25,BRL
530980500978820812,000045600000000001,cpf 10470952118,05-01-2026,ITUB4,buy,1.000,28.10,1.50,"0,38",BRL
387101226916697848,000000000987654321, 99471746488747 ,03/01/2026,NTNB 2035,Compra,100.0,10.35,0.0,0.00,BRL
301632870831727889,000000000987654321, 54665905151825 ,2026/01/06,NTNB 2035,BUY ,10,10.35,10.0,"3,25",BRL
854330365414586850,000000000987654321,45.502.296/1201-66,06-01-2026,NTNB 2035,B,1.000,"5,123.45",2.75,0.0,BRL
596631931491905865,000012345678901234, 66765277584190 ,03/01/2026,ITUB4,sell,10.0,"5.123,45",2.75,"1,10",BRL
204332181960013389,000045600000000001,18.844.225/8313-50,2026-01-02,VALE3,BUY,250,10.35,10.0,0.00,BRL
535346247510799118,000012345678901234,004.711.382-04 ,2026/01/03,NTNB 2035,BUY ,250.0,"5.123,45",2.75,3.25,BRL
243455812236231665,000000000987654321,,2026-01-03,VALE3,BUY ,100,9.85,"0,00","1,10",BRL
777360260647468723,123456789012345678,CNPJ 74.367.136/9594-86,05/01/2026,ITUB4,Compra,10,122.56,2.75,1.10,BRL
410341316475255341,000045600000000001, 08427109490 ,04-01-2026,VALE3,sell,25,28.1,0.0,"0,38",BRL
118451462704828148,123456789012345678,CNPJ 29.671.756/5512-99,06-01-2026,PETR4,S,"1,000",9.85,"1,50",3.25,BRL
637672423884969653,000000000987654321, 67974034483 ,03/01/2026,ITUB4,B,25,10.35,"1,50",0.0,BRL
383276483503056413,000000000987654321, 86999386757 ,2026/01/02,USD/BRL,Compra,25,10.35,2.75,0.0,USD
679868727743487347,000000000987654321,,05-01-2026,VALE3,BUY,100.0,"351,20","10,00",1.1,BRL
731165667010651333,123456789012345678,,05/01/2026,NTNB 2035,B,100,5123.45,10.00,1.10,BRL
