trade_id,account_id,client_document,date,ticker,side,quantity,price,broker_fee,tax,currency
596631931491905865,000012345678901234, 66765277584190 ,03/01/2026,ITUB4,sell,10.0,"5.123,45",2.75,"1,10",BRL
183863794026542351,000012345678901234,517.785.289-05,02-01-2026,ITUB4,SELL,250,351.2,10.0,"3,25",BRL
118451462704828148,123456789012345678,CNPJ 29.671.756/5512-99,06-01-2026,PETR4,S,"1,000",9.85,"1,50",3.25,BRL
427193745299124190,000012345678901234,85277221704307,2026-01-04,VALE3,B,"1,000","5.123,45","2,75",0.38,BRL
976036690967054668,123456789012345678,597.746.886-54,2026-01-03,BOVA11,SELL,250,10.35,1.50,1.10,BRL
854330365414586850,000000000987654321,45.502.296/1201-66,06-01-2026,NTNB 2035,B,1.000,"5,123.45",2.75,0.0,BRL
530980500978820812,000045600000000001,cpf 10470952118,05-01-2026,ITUB4,buy,1.000,28.10,1.50,"0,38",BRL
679868727743487347,000000000987654321,,05-01-2026,VALE3,BUY,100.0,"351,20","10,00",1.1,BRL
535346247510799118,000012345678901234,004.711.382-04 ,2026/01/03,NTNB 2035,BUY ,250.0,"5.123,45",2.75,3.25,BRL
301632870831727889,000000000987654321, 54665905151825 ,2026/01/06,NTNB 2035,BUY ,10,10.35,10.0,"3,25",BRL
777360260647468723,123456789012345678,CNPJ 74.367.136/9594-86,05/01/2026,ITUB4,Compra,10,122.56,2.75,1.10,BRL
533200379176936763,000045600000000001, 19986798027 ,2026-01-02,ITUB4,Venda,250,9.85,"0,00",1.10,BRL
264005242786801128,000045600000000001,00766177115966,2026-01-06,USD/BRL,BUY ,250,351.20,"1,50","0,00",USD
217182278248963834,000012345678901234,748.467.737-00,06-01-2026,PETR4, SELL,10.0,"10,35","0,00","3,25",BRL
410341316475255341,000045600000000001,cnpj: 10276773592539,05-01-2026,NTNB 2035,S,100.0,"122,56",1.5,"3,25",BRL
993734670656272980,000012345678901234,75060685329,2026/01/04,PETR4,B,100,"122,56",1.5,3.25,BRL
261559407816184959,000000000987654321,98182992299581,03/01/2026,ITUB4, SELL,10,"28,10",1.50,1.10,BRL
291361939909169985,000000000987654321,cpf 68516048177,2026/01/04,BOVA11,S,100.0,9.85,10.00,"0,00",BRL
