trade_id,account_id,client_document,date,ticker,side,quantity,price,broker_fee,tax,currency
869453147379965075,000045600000000001,19.285.654/3102-21,04/01/2026,BOVA11,B,"1,000","10,35",10.00,"1,10",BRL
264005242786801128,000045600000000001,00766177115966,2026-01-06,USD/BRL,BUY ,250,351.20,"1,50","0,00",USD
118451462704828148,123456789012345678,CNPJ 29.671.756/5512-99,06-01-2026,PETR4,S,"1,000",9.85,"1,50",3.25,BRL
972624731781080132,000045600000000001, 56238692221927 ,2026-01-05,VALE3, SELL,10,"9,85","2,75",0.00,BRL
506088356159514846,000012345678901234,432.445.107-92,2026-01-06,NTNB 2035,sell,10,10.35,"10,00",0.00,BRL
383276483503056413,000000000987654321, 86999386757 ,2026/01/02,USD/BRL,Compra,25,10.35,2.75,0.0,USD
564170805310033092,000045600000000001,96218518824,06-01-2026,USD/BRL,BUY,25,28.10,10.0,"0,00",USD
261559407816184959,000012345678901234,  ,2026-01-04,ITUB4,Compra,10,"5,123.45","1,50",1.1,BRL
535346247510799118,000012345678901234,004.711.382-04 ,2026/01/03,NTNB 2035,BUY ,250.0,"5.123,45",2.75,3.25,BRL
664823662994680443,123456789012345678, 16052975161377 ,05-01-2026,PETR4,Venda,10.0,"28,10",10.0,3.25,BRL
777360260647468723,123456789012345678,CNPJ 74.367.136/9594-86,05/01/2026,ITUB4,Compra,10,122.56,2.75,1.10,BRL
243455812236231665,000000000987654321,,2026-01-03,VALE3,BUY ,100,9.85,"0,00","1,10",BRL
159826204505331586,123456789012345678,cpf 65766156558,2026-01-06,BOVA11,Compra,10.0,"5.123,45",1.5,3.25,BRL
530980500978820812,000045600000000001,cpf 10470952118,05-01-2026,ITUB4,buy,1.000,28.10,1.50,"0,38",BRL
854330365414586850,000000000987654321,45.502.296/1201-66,06-01-2026,NTNB 2035,B,1.000,"5,123.45",2.75,0.0,BRL
425288095701543039,123456789012345678,385.977.034-90,2026/01/04,ITUB4,Compra,250,351.2,0.00,3.25,BRL
291361939909169985,000000000987654321,cpf 68516048177,2026/01/04,BOVA11,S,100.0,9.85,10.00,"0,00",BRL
217182278248963834,000012345678901234,748.467.737-00,06-01-2026,PETR4, SELL,10.0,"10,35","0,00","3,25",BRL
